::1 - - [23/Apr/2026:14:24:13 +0000] "GET /?webview_request_time=1776954252407 HTTP/1.1" 502 568 "http://localhost:2026/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0"
::1 - - [23/Apr/2026:14:29:32 +0000] "GET /?webview_request_time=1776954571625 HTTP/1.1" 502 568 "http://localhost:2026/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 EdgA/146.0.0.0"
::1 - - [23/Apr/2026:14:32:29 +0000] "GET /?webview_request_time=1776954748167 HTTP/1.1" 502 568 "http://localhost:2026/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 EdgA/146.0.0.0"
::1 - - [23/Apr/2026:14:35:58 +0000] "GET / HTTP/1.1" 502 568 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/147.0.0.0 Safari/537.36"
::1 - - [23/Apr/2026:14:35:58 +0000] "GET /favicon.ico HTTP/1.1" 502 568 "http://localhost:2026/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/147.0.0.0 Safari/537.36"
::1 - - [23/Apr/2026:14:38:47 +0000] "GET /?webview_request_time=1776955126989 HTTP/1.1" 502 568 "http://localhost:2026/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 EdgA/146.0.0.0"
::1 - - [23/Apr/2026:14:41:54 +0000] "GET /?webview_request_time=1776955313308 HTTP/1.1" 502 568 "http://localhost:2026/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 EdgA/146.0.0.0"
::1 - - [23/Apr/2026:14:47:53 +0000] "GET / HTTP/1.1" 502 568 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
::1 - - [23/Apr/2026:14:49:32 +0000] "GET / HTTP/1.1" 200 695 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
::1 - - [23/Apr/2026:14:49:32 +0000] "GET /index.html?html-proxy&index=0.js HTTP/1.1" 200 2774 "http://localhost:2026/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
::1 - - [23/Apr/2026:14:49:32 +0000] "GET /@react-refresh HTTP/1.1" 200 113132 "http://localhost:2026/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
::1 - - [23/Apr/2026:14:49:32 +0000] "GET /@vite/client HTTP/1.1" 200 182878 "http://localhost:2026/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
::1 - - [23/Apr/2026:14:49:32 +0000] "GET /src/main.tsx HTTP/1.1" 200 1876 "http://localhost:2026/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
