region,gdp,pop,edu,lon,lat
Region_1,48559.1,482.71,11.78,117.3647,36.767
Region_2,57019.84,533.23,11.47,114.2192,30.298
Region_3,52322.98,616.36,13.31,116.4988,35.4494
Region_4,51105.07,524.63,14.62,118.0943,30.065
Region_5,55317.76,354.65,11.38,119.5721,33.3659
Region_6,54903.63,537.66,12.5,118.4749,36.0373
Region_7,55682.51,348.55,6.76,113.7853,35.5204
Region_8,43931.09,566.43,9.56,118.6171,35.7735
Region_9,49137.56,470.61,12.23,110.7979,32.3279
Region_10,58186.36,564.99,12.96,116.3568,33.6483
Region_11,45300.32,549.93,11.5,116.4804,36.0913
Region_12,73357.54,576.85,14.84,111.634,33.7946
Region_13,64263.45,490.6,9.15,118.4285,37.76
Region_14,44679.23,503.35,12.51,113.1545,32.6774
Region_15,55807.8,732.14,13.24,116.5544,33.9563
Region_16,43905.97,595.23,10.87,112.6488,32.4663
Region_17,42765.37,470.63,8.32,113.994,32.1932
Region_18,39175.21,619.35,11.96,110.9091,30.4712
Region_19,60847.41,589.34,12.55,110.6353,33.8162
Region_20,39890.56,622.69,11.94,119.7108,38.6078
Region_21,65930.6,511.51,10.97,112.6683,36.4096
Region_22,38715.52,581.64,13.38,114.5372,39.5382
Region_23,55558.52,445.01,10.75,119.1263,38.7052
Region_24,49976.9,457.22,14.72,116.0897,31.5284
Region_25,50977.76,375.87,12.44,110.0057,33.2416
Region_26,37903.82,728.34,12.56,118.7872,38.3167
Region_27,48778.61,532.31,15.49,110.8565,34.8599
Region_28,33190.84,653.35,13.42,117.6583,31.2839
Region_29,37518.2,519.54,11.62,114.2314,32.118
Region_30,70202.67,343.1,11.21,112.0115,33.1172
Region_31,64481.02,495.59,9.77,111.21,32.247
Region_32,54578.5,429.97,14.27,112.3011,32.2022
Region_33,62740.73,560.93,12.57,118.5964,30.7086
Region_34,71527.95,511.2,14.97,112.1424,31.3231
Region_35,61957.31,448.71,8.55,118.075,31.9041
Region_36,52994.23,587.11,13.22,114.2358,34.6702
Region_37,48038.95,351.7,12.91,114.0262,33.393
Region_38,49547.85,548.81,10.84,111.9021,34.4861
Region_39,42873.33,538.09,12.01,114.4313,38.6135
Region_40,72660.1,469.38,11.8,119.9928,38.3603
Region_41,72409.44,455.79,12.7,114.8564,32.1375
Region_42,45091.52,471.74,12.4,113.7897,39.8531
Region_43,48330.03,674.29,9.99,119.5732,39.9542
Region_44,52925.36,350.47,10.91,111.548,32.9671
Region_45,62903.67,474.3,8.8,110.5717,35.8418
Region_46,45649.7,304.31,11.93,111.5743,39.6078
Region_47,55616.87,530.93,9.52,112.352,31.1989
Region_48,41567.57,558.02,11.04,115.9452,36.1938
Region_49,38430.26,564.34,7.38,112.0426,37.1619
Region_50,46667.22,507.13,14.0,116.7169,33.0
